"","ID","Species","SampleID","Length.cm.","Month","GonWeight","Weight.g.","H_Sex","Oocyte_Stage","Phase","Mature","M_CA","M_VT","CN","PN","CA","VTI","VTII","VTIII","Muscel.Bundles","Blood.Vessels","POFS","atresia"
"19",351,"Pristipomoides zonatus","GCMB-51",28.7,"Sep",3,483,"F","PO","RE",NA,1,1,"x","x","","","","","x","small","","gamma"
"20",352,"Pristipomoides zonatus","GCMB-52",30.5,"Sep",0.3,599,"M","","D",1,NA,NA,"","","","","","","","","",""
"21",353,"Pristipomoides zonatus","GCMB-53",25.7,"Sep",1.5,324,"F","PO","U",NA,0,0,"x","x","","","","","x","","",""
"22",354,"Pristipomoides zonatus","GCMB-61",27,"Jan",0.2,387,"M","","SC",1,NA,NA,"","","","","","","","","",""
"23",355,"Pristipomoides zonatus","GCMB-62",32.5,"Jan",0.8,755,"M","","SC",1,NA,NA,"","","","","","","","","",""
"24",521,"Pristipomoides zonatus","GECC-1000",34.7,"Dec",0.8,875,"M","","RE",1,NA,NA,"","","","","","","","","",""
"25",522,"Pristipomoides zonatus","GECC-1018",28.8,"Apr",1.4,499,"F","PO","RE",NA,1,1,"x","x","","","","","x","","","gamma"
"26",523,"Pristipomoides zonatus","GECC-1019",27.2,"Apr",1.1,405,"F","PO","U",NA,0,0,"x","x","","","","","x","","",""
"27",524,"Pristipomoides zonatus","GECC-1105",29.9,"Jul",4.3,560,"F","PO","RE",NA,1,1,"x","x","","","","","x","x","",""
"28",525,"Pristipomoides zonatus","GECC-1106",35.1,"Jul",20.2,911,"F","GVM","AS",NA,1,1,"x","x","x","x","x","x","x","x","",""
"29",526,"Pristipomoides zonatus","GECC-1107",28.1,"Jul",5,485,"F","VTI","D",NA,1,1,"x","x","","x","","","","","","alpha, beta, delta"
"30",527,"Pristipomoides zonatus","GECC-1117",26.7,"Jul",4.3,414,"F","VTIII","SC",NA,1,1,"x","x","x","x","x","x","","","",""
"31",528,"Pristipomoides zonatus","GECC-1118",22.3,"Jul",1,223,"F","CA","D",NA,1,1,"x","x","x","","","","","x","","gamma"
"32",529,"Pristipomoides zonatus","GECC-1124",28.9,"Jul",6.5,523,"F","VTIII","SC",NA,1,1,"x","x","x","x","x","x","x","","early","beta, delta"
"33",530,"Pristipomoides zonatus","GECC-1125",26.4,"Jul",2.2,371,"F","PO","RE",NA,1,1,"x","x","","","","","x","","","delta and gamma"
"34",531,"Pristipomoides zonatus","GECC-1126",31.8,"Jul",16,784,"F","VTIII","SC",NA,1,1,"","x","x","x","x","x","","","late","beta"
"35",532,"Pristipomoides zonatus","GECC-1144",34.6,"Aug",0.7,889,"M","","SC",1,NA,NA,"","","","","","","","","",""
"36",533,"Pristipomoides zonatus","GECC-1202",34,"Dec",0.5,778,"M","","SC",1,NA,NA,"","","","","","","","","",""
"37",534,"Pristipomoides zonatus","GECC-1204",33.8,"Dec",0.4,804,"M","","SC",1,NA,NA,"","","","","","","","","",""
"38",535,"Pristipomoides zonatus","GECC-1205",31.4,"Dec",0.3,615,"M","","SC",1,NA,NA,"","","","","","","","","",""
"39",536,"Pristipomoides zonatus","GECC-1209",26.9,"Jan",NA,381,"F","PO","RE",NA,1,1,"x","x","","","","","x","","","gamma"
"40",537,"Pristipomoides zonatus","GECC-1210",23.9,"Jan",NA,266,"F","PO","RE",NA,1,1,"x","x","","","","","","","","gamma"
"41",538,"Pristipomoides zonatus","GECC-1211",25.2,"Jan",NA,339,"F","PO","U",NA,0,0,"x","x","","","","","","","","gamma"
"42",540,"Pristipomoides zonatus","GECC-1212",23.5,"Jan",NA,280,"F","PO","U",NA,0,0,"x","x","","","","","x","x","",""
"43",541,"Pristipomoides zonatus","GECC-1213",28.2,"Jan",NA,489,"F","PO","RE",NA,1,1,"x","x","","","","","x","x","","gamma"
"44",542,"Pristipomoides zonatus","GECC-1214",29.1,"Jan",NA,504,"F","PO","RE",NA,1,1,"x","x","","","","","x","x","","gamma"
"45",543,"Pristipomoides zonatus","GECC-1232",24.5,"Feb",1.1,312,"F","PO","U",NA,0,0,"x","x","","","","","","","",""
"46",539,"Pristipomoides zonatus","GECC-1233",22,"Feb",0.8,244,"F","PO","U",NA,0,0,"x","x","","","","","","","",""
"47",544,"Pristipomoides zonatus","GECC-1234",22.5,"Feb",0.4,240,"F","PO","U",NA,0,0,"x","x","","","","","","","",""
"48",450,"Pristipomoides zonatus","GECC-1251",25.8,"May",2.8,348,"F","VTII","D",NA,1,1,"","x","x","x","x","","x","","","delta"
"49",451,"Pristipomoides zonatus","GECC-1262",35.7,"May",11.6,938,"F","GVM","AS",NA,1,1,"","x","x","x","","x","x","large","","delta"
"50",452,"Pristipomoides zonatus","GECC-1263",34.3,"May",7.9,855,"F","VTIII","SC",NA,1,1,"","x","x","x","x","x","x","","","alpha, beta"
"51",453,"Pristipomoides zonatus","GECC-1264",32.5,"May",0.6,651,"M","","RG",1,NA,NA,"","","","","","","","","",""
"52",454,"Pristipomoides zonatus","GECC-1310",20.3,"Oct",0.3,152,"F","PO","U",NA,0,0,"x","x","","","","","","","",""
"53",459,"Pristipomoides zonatus","GECC-1341",NA,NA,NA,NA,"F","VTIII","SC",NA,1,1,"","x","x","","","x","x","x","late","delta"
"54",455,"Pristipomoides zonatus","GECC-1397",23.9,"May",1,293,"F","PO","U",NA,0,0,"x","x","","","","","","","",""
"55",456,"Pristipomoides zonatus","GECC-1398",27,"May",1.6,398,"F","CA","D",NA,1,1,"x","x","x","","","","x","","","gamma"
"56",457,"Pristipomoides zonatus","GECC-1399",27.5,"May",2.1,444,"F","CA","D",NA,1,1,"x","x","x","","","","x","","","gamma"
"57",458,"Pristipomoides zonatus","GECC-1424",37,"Jun",1.2,1070,"M","","SC",1,NA,NA,"","","","","","","","","",""
"58",460,"Pristipomoides zonatus","GECC-1432",36.5,"Jun",1.6,946,"M","","SC",1,NA,NA,"","","","","","","","","",""
"59",461,"Pristipomoides zonatus","GECC-1433",35.2,"Jun",12.2,908,"F","VTIII","SC",NA,1,1,"","x","x","","","x","","","late","beta, delta"
"60",462,"Pristipomoides zonatus","GECC-1435",37.2,"Jun",1.7,1114,"M","","SC",1,NA,NA,"","","","","","","","","",""
"61",463,"Pristipomoides zonatus","GECC-1436",39.5,"Jun",1.9,1223,"M","","SC",1,NA,NA,"","","","","","","","","",""
"62",464,"Pristipomoides zonatus","GECC-1448",34.5,"Jul",7.5,850,"F","PO","RG",NA,1,1,"","x","","","","","x","small","","beta, delta, gamma"
"63",465,"Pristipomoides zonatus","GECC-1449",34.2,"Jul",0.9,798,"M","","RG",1,NA,NA,"","","","","","","","","",""
"64",466,"Pristipomoides zonatus","GECC-1450",33.6,"Jul",7.8,727,"F","PO","RG",NA,1,1,"","x","","","","","x","","","beta, delta"
"65",467,"Pristipomoides zonatus","GECC-1451",37,"Jul",1.8,986,"M","","SC",1,NA,NA,"","","","","","","","","",""
"66",468,"Pristipomoides zonatus","GECC-1452",34.2,"Jul",11.2,807,"F","VTIII","SC",NA,1,1,"x","x","x","x","","x","x","x","","beta, delta"
"67",469,"Pristipomoides zonatus","GECC-1453",24,"Jul",0.7,273,"F","PO","U",NA,0,0,"x","x","","","","","","","","gamma"
"68",470,"Pristipomoides zonatus","GECC-1463",39.3,"Jul",1.9,1244,"M","","RG",1,NA,NA,"","","","","","","","","",""
"69",471,"Pristipomoides zonatus","GECC-1464",36.6,"Jul",1.4,1055,"M","","SC",1,NA,NA,"","","","","","","","","",""
"70",472,"Pristipomoides zonatus","GECC-1465",38.2,"Jul",1.9,1185,"M","","SC",1,NA,NA,"","","","","","","","","",""
"71",473,"Pristipomoides zonatus","GECC-1468",28.2,"Jul",2.5,451,"F","VTI","D",NA,1,1,"","x","x","x","","","x","x","","delta, gamma"
"72",474,"Pristipomoides zonatus","GECC-1470",30,"Jul",0.7,621,"M","","SC",1,NA,NA,"","","","","","","","","",""
"73",475,"Pristipomoides zonatus","GECC-1471",31.5,"Jul",0.6,752,"M","","SC",1,NA,NA,"","","","","","","","","",""
"74",476,"Pristipomoides zonatus","GECC-1472",32.3,"Jul",0.7,765,"M","","SC",1,NA,NA,"","","","","","","","","",""
"75",477,"Pristipomoides zonatus","GECC-1496",30.5,"Aug",8.6,632,"F","VTIII","SC",NA,1,1,"x","x","x","x","x","x","","x","",""
"76",478,"Pristipomoides zonatus","GECC-1497",34.5,"Aug",1.5,832,"M","","SC",1,NA,NA,"","","","","","","","","",""
"77",479,"Pristipomoides zonatus","GECC-1507",35.5,"Aug",1.5,933,"M","","SC",1,NA,NA,"","","","","","","","","",""
"78",480,"Pristipomoides zonatus","GECC-1508",40.4,"Aug",0.7,1226,"M","","SC",1,NA,NA,"","","","","","","","","",""
"79",481,"Pristipomoides zonatus","GECC-1509",37.5,"Aug",1.3,1054,"M","","SC",1,NA,NA,"","","","","","","","","",""
"80",482,"Pristipomoides zonatus","GECC-1510",22.3,"Aug",0.3,210,"F","PO","U",NA,0,0,"x","x","","","","","","","",""
"81",483,"Pristipomoides zonatus","GECC-1511",36.1,"Aug",1.3,1040,"M","","SC",1,NA,NA,"","","","","","","","","",""
"82",484,"Pristipomoides zonatus","GECC-1518",37.1,"Aug",1,1213,"F","PO","RE",NA,1,1,"x","x","","","","","x","","",""
"83",485,"Pristipomoides zonatus","GECC-1541",24.4,"Apr",0.6,266,"F","PO","U",NA,0,0,"x","x","","","","","","","",""
"84",486,"Pristipomoides zonatus","GECC-1542",27.8,"Apr",1.6,458,"F","PO","RE",NA,1,1,"x","x","","","","","x","","","gamma"
"85",487,"Pristipomoides zonatus","GECC-1586",35.9,"Jul",24.9,944,"F","H","AS",NA,1,1,"x","x","x","x","","x","","","","beta, delta"
"86",488,"Pristipomoides zonatus","GECC-1587",25.5,"Jul",1.3,338,"F","PO","RE",NA,1,1,"x","x","","","","","x","","","gamma"
"87",489,"Pristipomoides zonatus","GECC-1591",17.8,"Aug",0.1,111,"F","PO","U",NA,0,0,"x","x","","","","","","","",""
"88",490,"Pristipomoides zonatus","GECC-1649",28,"Jun",6.6,464,"F","VTIII","SC",NA,1,1,"x","x","x","x","x","x","","","",""
"89",491,"Pristipomoides zonatus","GECC-1650",33.3,"Jun",0.7,763,"M","","D",0,NA,NA,"","","","","","","","","",""
"90",492,"Pristipomoides zonatus","GECC-1657",22,"Jun",0.3,210,"F","PO","U",NA,0,0,"x","x","","","","","","","",""
"91",493,"Pristipomoides zonatus","GECC-1659",23.6,"Jun",0.5,269,"F","PO","U",NA,0,0,"x","x","","","","","","","",""
"92",494,"Pristipomoides zonatus","GECC-1660",22.8,"Jun",0.3,225,"F","PO","U",NA,0,0,"x","x","","","","","","","",""
"93",495,"Pristipomoides zonatus","GECC-1666",29.4,"Jun",2,505,"F","CA","D",NA,1,1,"x","x","x","","","","","","","delta, gamma"
"94",496,"Pristipomoides zonatus","GECC-1670",31.6,"Jul",11.7,639,"F","VTIII","SC",NA,1,1,"x","x","x","x","x","x","","","","delta, gamma"
"95",497,"Pristipomoides zonatus","GECC-1671",28.5,"Jul",3.3,469,"F","CA","RG",NA,1,1,"x","x","x","","","","","","","alpha, beta, delta"
"96",498,"Pristipomoides zonatus","GECC-1674",27.1,"Jul",2.4,388,"F","VTIII","SC",NA,1,1,"x","x","","x","x","x","x","","",""
"97",499,"Pristipomoides zonatus","GECC-1693",32.5,"Jul",0.4,713,"M","","SC",1,NA,NA,"","","","","","","","","",""
"98",500,"Pristipomoides zonatus","GECC-1694",27.3,"Jul",1.5,422,"F","PO","RE",NA,1,1,"x","x","","","","","","","","gamma"
"99",501,"Pristipomoides zonatus","GECC-299",37.2,"Jul",32.102,1059,"F","VTIII","SC",NA,1,1,"","x","","x","x","x","x","","","alpha"
"100",502,"Pristipomoides zonatus","GECC-334",35.1,"Aug",0.79,901,"M","","SC",1,NA,NA,"","","","","","","","","",""
"101",503,"Pristipomoides zonatus","GECC-335",33.9,"Aug",31.96,827,"F","H","AS",NA,1,1,"","x","x","x","x","x","","","early",""
"102",858,"Pristipomoides zonatus","GECC-366",NA,NA,NA,NA,"","","",NA,0,0,"","","","","","","","","",""
"103",504,"Pristipomoides zonatus","GECC-910",NA,NA,NA,NA,"M","","SC",1,NA,NA,"","","","","","","","","",""
"104",505,"Pristipomoides zonatus","GECC-918",NA,NA,NA,NA,"F","VTII","D",NA,1,1,"x","x","x","x","x","","","small","",""
"105",506,"Pristipomoides zonatus","GECC-925",23.1,"May",0.4,232,"F","CA","D",NA,1,0,"x","x","x","","","","","","",""
"106",507,"Pristipomoides zonatus","GECC-926",31.5,"May",0.4,593,"M","","SC",1,NA,NA,"","","","","","","","","",""
"107",508,"Pristipomoides zonatus","GECC-927",23,"May",0.4,246,"F","PO","U",NA,0,0,"x","x","","","","","","","",""
"108",509,"Pristipomoides zonatus","GECC-929",25.1,"May",0.1,322,"M","","U",0,NA,NA,"","","","","","","","","",""
"109",510,"Pristipomoides zonatus","GECC-930",32.4,"May",0.3,676,"M","","SC",1,NA,NA,"","","","","","","","","",""
"110",511,"Pristipomoides zonatus","GECC-963",29,"Aug",3.9,515,"F","CA","D",NA,1,1,"x","x","x","","","","x","x","","gamma"
"111",512,"Pristipomoides zonatus","GECC-971",37.2,"Sep",30.3,1143,"F","VTIII","SC",NA,1,1,"","x","x","x","x","x","","","mid",""
"112",513,"Pristipomoides zonatus","GECC-972",30.2,"Sep",15,636,"F","VTIII","SC",NA,1,1,"x","x","x","x","x","x","x","x","",""
"113",514,"Pristipomoides zonatus","GECC-973",31,"Sep",17,635,"F","H","AS",NA,1,1,"x","x","x","x","x","x","x","x","","alpha"
"114",515,"Pristipomoides zonatus","GECC-974",34.5,"Sep",35.7,995,"F","VTIII","SC",NA,1,1,"x","x","x","x","x","x","x","x","",""
"115",516,"Pristipomoides zonatus","GECC-975",35.3,"Sep",1,996,"M","","SC",1,NA,NA,"","","","","","","","","",""
"116",517,"Pristipomoides zonatus","GECC-976",24.2,"Sep",NA,300,"F","PO","D",NA,1,0,"x","x","x","","","","x","","",""
"117",518,"Pristipomoides zonatus","GECC-977",22.8,"Sep",NA,222,"F","PO","U",NA,0,0,"x","x","","","","","","","",""
"118",519,"Pristipomoides zonatus","GECC-978",22.1,"Sep",NA,207,"F","PO","U",NA,0,0,"x","x","","","","","","","",""
"119",520,"Pristipomoides zonatus","GECC-995",27.3,"Dec",1.2,428,"F","PO","RE",NA,1,1,"x","x","","","","","x","","","gamma"
"120",449,"Pristipomoides zonatus","GFCV-5",24.5,"Jul",0.8,296,"F","PO","RE",NA,1,1,"","","","","","","x","","","gamma"
"121",445,"Pristipomoides zonatus","GKAR-17",27.7,"Jun",0.1,447,"M","","SC",1,NA,NA,"","","","","","","","","",""
"122",446,"Pristipomoides zonatus","GKAR-18",33.3,"Jun",0.6,749,"M","","SC",1,NA,NA,"","","","","","","","","",""
"123",447,"Pristipomoides zonatus","GKAR-21",29.5,"Aug",0.3,578,"M","","SC",1,NA,NA,"","","","","","","","","",""
"124",448,"Pristipomoides zonatus","GKAR-22",24.6,"Aug",0.1,324,"M","","D",1,NA,NA,"","","","","","","","","",""
"125",366,"Pristipomoides zonatus","GVDP-100",37.2,"Sep",1,1072,"M","","SC",1,NA,NA,"","","","","","","","","",""
"126",367,"Pristipomoides zonatus","GVDP-107",29.8,"Sep",10.4,517,"F","VTIII","SC",NA,1,1,"x","x","x","x","x","x","","","",""
"127",368,"Pristipomoides zonatus","GVDP-108",29.5,"Sep",10.1,547,"F","VTIII","SC",NA,1,1,"x","x","x","x","x","x","","large","late",""
"128",369,"Pristipomoides zonatus","GVDP-111",21.9,"Sep",NA,200,"M","","AS",1,NA,NA,"","","","","","","","","",""
"129",356,"Pristipomoides zonatus","GVDP-12",31.9,"May",20.8,678,"F","GVM","AS",NA,1,1,"","x","x","x","x","x","","","",""
"130",357,"Pristipomoides zonatus","GVDP-13",26.9,"May",0.5,408,"M","","D",1,NA,NA,"","","","","","","","","",""
"131",358,"Pristipomoides zonatus","GVDP-14",30.4,"May",0.7,574,"M","","D",1,NA,NA,"","","","","","","","","",""
"132",359,"Pristipomoides zonatus","GVDP-15",22.7,"May",2.1,242,"F","VTIII","SC",NA,1,1,"x","x","x","x","x","x","","","",""
"133",370,"Pristipomoides zonatus","GVDP-245",30.1,"Jul",3.8,538,"F","PO","RG",NA,1,1,"x","x","","","","","","","","alpha, beta, gamma"
"134",371,"Pristipomoides zonatus","GVDP-246",27.5,"Jul",8.9,440,"F","VTIII","SC",NA,1,1,"x","x","x","x","x","x","","","late","alpha"
"135",372,"Pristipomoides zonatus","GVDP-247",26.1,"Jul",3.7,346,"F","VTIII","RG",NA,1,1,"x","x","x","x","x","x","","","late","alpha, beta, gamma"
"136",373,"Pristipomoides zonatus","GVDP-248",26.9,"Jul",9.1,403,"F","VTIII","SC",NA,1,1,"x","x","x","x","x","x","","","",""
"137",374,"Pristipomoides zonatus","GVDP-249",31.1,"Jul",0.6,589,"M","","SC",1,NA,NA,"","","","","","","","","",""
"138",375,"Pristipomoides zonatus","GVDP-250",24.3,"Jul",1.8,290,"F","PO","U",NA,0,0,"x","x","","","","","x","","",""
"139",376,"Pristipomoides zonatus","GVDP-251",23.5,"Jul",1.1,260,"F","CA","D",NA,1,0,"x","x","x","","","","","","",""
"140",377,"Pristipomoides zonatus","GVDP-252",33,"Jul",1.1,737,"M","","SC",1,NA,NA,"","","","","","","","","",""
"141",378,"Pristipomoides zonatus","GVDP-253",28.7,"Jul",3.2,505,"F","PO","RE",NA,1,1,"x","x","","","","","","","","gamma, delta"
"142",379,"Pristipomoides zonatus","GVDP-261",22.1,"Jul",0.5,220,"F","PO","U",NA,0,0,"x","x","","","","","","","",""
"143",380,"Pristipomoides zonatus","GVDP-264",31.9,"Jul",0.4,684,"M","","AS",1,NA,NA,"","","","","","","","","",""
"144",381,"Pristipomoides zonatus","GVDP-265",21,"Jul",0.4,179,"F","PO","U",NA,0,0,"x","x","","","","","","","",""
"145",382,"Pristipomoides zonatus","GVDP-267",23.4,"Jul",0.8,265,"F","PO","U",NA,0,0,"x","x","","","","","","","",""
"146",383,"Pristipomoides zonatus","GVDP-379",33.4,"Jan",0.6,816,"M","","SC",1,NA,NA,"","","","","","","","","",""
"147",384,"Pristipomoides zonatus","GVDP-384",27.7,"Jan",0.1,436,"M","","SC",1,NA,NA,"","","","","","","","","",""
"148",386,"Pristipomoides zonatus","GVDP-385",29.3,"Jan",2.3,581,"F","PO","RE",NA,1,1,"x","x","","","","","x","","","gamma"
"149",387,"Pristipomoides zonatus","GVDP-386",21.3,"Jan",0.6,221,"F","PO","U",NA,0,0,"x","x","","","","","x","","",""
"150",388,"Pristipomoides zonatus","GVDP-387",27.9,"Jan",1.5,468,"F","PO","RE",NA,1,1,"x","x","","","","","x","x","","gamma"
"151",360,"Pristipomoides zonatus","GVDP-42",30,"Jun",2.3,546,"F","PO","RE",NA,1,1,"x","x","","","","","x","small","","delta"
"152",389,"Pristipomoides zonatus","GVDP-433",30,"Apr",0.2,572,"M","","SC",1,NA,NA,"","","","","","","","","",""
"153",390,"Pristipomoides zonatus","GVDP-434",25.3,"Apr",0.1,320,"M","","U",0,NA,NA,"","","","","","","","","",""
"154",391,"Pristipomoides zonatus","GVDP-448",25.3,"Jun",NA,329,"M","","D",1,NA,NA,"","","","","","","","","",""
"155",392,"Pristipomoides zonatus","GVDP-449",27.7,"Jun",0.3,432,"M","","SC",1,NA,NA,"","","","","","","","","",""
"156",393,"Pristipomoides zonatus","GVDP-450",24.6,"Jun",NA,309,"M","","U",0,NA,NA,"","","","","","","","","",""
"157",394,"Pristipomoides zonatus","GVDP-451",22.8,"Jun",0.4,248,"F","PO","U",NA,0,0,"x","x","","","","","x","","",""
"158",395,"Pristipomoides zonatus","GVDP-452",24.7,"Jun",0.7,322,"F","PO","RE",NA,1,1,"x","x","","","","","","","","gamma"
"159",396,"Pristipomoides zonatus","GVDP-453",25.3,"Jun",0.9,326,"F","PO","RE",NA,1,1,"x","x","","","","","","","","delta"
"160",397,"Pristipomoides zonatus","GVDP-454",30.8,"Jun",0.1,616,"M","","SC",1,NA,NA,"","","","","","","","","",""
"161",398,"Pristipomoides zonatus","GVDP-455",22.1,"Jun",NA,205,"M","","U",0,NA,NA,"","","","","","","","","",""
"162",399,"Pristipomoides zonatus","GVDP-466",30,"Jul",0.2,641,"M","","SC",1,NA,NA,"","","","","","","","","",""
"163",400,"Pristipomoides zonatus","GVDP-467",30.3,"Jul",3.4,611,"F","PO","RG",NA,1,1,"x","x","x","x","","","x","","","alpha, beta, gamma"
"164",401,"Pristipomoides zonatus","GVDP-468",27,"Jul",1.8,420,"F","VTI","D",NA,1,1,"x","x","x","x","","","x","","","delta"
"165",402,"Pristipomoides zonatus","GVDP-483",NA,NA,NA,NA,"F","CA","D",NA,1,1,"x","x","x","","","","","","","delta, gamma"
"166",415,"Pristipomoides zonatus","GVDP-487",26.5,"Jul",1.4,413,"F","CA","D",NA,1,1,"x","x","x","","","","x","","","gamma"
"167",416,"Pristipomoides zonatus","GVDP-488",21.3,"Jul",0.3,200,"F","CA","D",NA,1,0,"x","x","x","","","","x","x","",""
"168",417,"Pristipomoides zonatus","GVDP-489",19.5,"Jul",0.2,183,"F","PO","U",NA,0,0,"x","x","","","","","","","",""
"169",418,"Pristipomoides zonatus","GVDP-490",35.5,"Jul",0.5,976,"M","","SC",1,NA,NA,"","","","","","","","","",""
"170",419,"Pristipomoides zonatus","GVDP-491",24,"Jul",0.7,278,"F","CA","D",NA,1,0,"x","x","x","","","","","","",""
"171",420,"Pristipomoides zonatus","GVDP-492",27.2,"Jul",0.2,442,"M","","SC",1,NA,NA,"","","","","","","","","",""
"172",422,"Pristipomoides zonatus","GVDP-493",29,"Jul",2.1,520,"F","CA","D",NA,1,1,"x","x","x","","","","x","","",""
"173",423,"Pristipomoides zonatus","GVDP-505",26.7,"Jul",NA,409,"M","","SC",1,NA,NA,"","","","","","","","","",""
"174",424,"Pristipomoides zonatus","GVDP-506",24,"Jul",NA,312,"M","","SC",1,NA,NA,"","","","","","","","","",""
"175",425,"Pristipomoides zonatus","GVDP-508",32.1,"Jul",0.4,696,"M","","SC",1,NA,NA,"","","","","","","","","",""
"176",403,"Pristipomoides zonatus","GVDP-595",27.3,"Jan",1.1,387,"F","PO","RE",NA,1,1,"x","x","","","","","x","","","gamma"
"177",405,"Pristipomoides zonatus","GVDP-596",23.7,"Jan",0.7,261,"F","PO","RE",NA,1,1,"x","x","","","","","","","","gamma"
"178",404,"Pristipomoides zonatus","GVDP-599",25.5,"Jan",0.8,344,"F","PO","RE",NA,1,1,"x","x","","","","","x","","","gamma"
"179",406,"Pristipomoides zonatus","GVDP-603",30,"Jan",0.4,558,"M","","SC",1,NA,NA,"","","","","","","","","",""
"180",407,"Pristipomoides zonatus","GVDP-604",29.5,"Jan",0.5,561,"M","","SC",1,NA,NA,"","","","","","","","","",""
"181",408,"Pristipomoides zonatus","GVDP-605",29.3,"Jan",0.5,554,"M","","SC",1,NA,NA,"","","","","","","","","",""
"182",409,"Pristipomoides zonatus","GVDP-632",26.2,"Jan",1,372,"F","PO","U",NA,0,0,"x","x","","","","","","","",""
"183",410,"Pristipomoides zonatus","GVDP-644",26.7,"Feb",1.2,401,"F","PO","RE",NA,1,1,"x","x","","","","","","","","gamma"
"184",411,"Pristipomoides zonatus","GVDP-645",21.1,"Feb",0.3,185,"F","PO","U",NA,0,0,"x","x","","","","","","","",""
"185",412,"Pristipomoides zonatus","GVDP-673",32.5,"Feb",0.4,729,"M","","RE",1,NA,NA,"","","","","","","","","",""
"186",413,"Pristipomoides zonatus","GVDP-674",31.7,"Feb",0.3,709,"M","","SC",1,NA,NA,"","","","","","","","","",""
"187",414,"Pristipomoides zonatus","GVDP-686",32.3,"Feb",0.2,705,"M","","SC",1,NA,NA,"","","","","","","","","",""
"188",421,"Pristipomoides zonatus","GVDP-733",27.3,"Jul",6.4,403,"F","H","AS",NA,1,1,"","x","x","x","x","x","","","mid",""
"189",437,"Pristipomoides zonatus","GVDP-757",22.3,"Nov",0.4,234,"F","PO","U",NA,0,0,"x","x","","","","","","","",""
"190",438,"Pristipomoides zonatus","GVDP-758",17.4,"Nov",NA,106,"F","PO","U",NA,0,0,"x","x","","","","","","","",""
"191",361,"Pristipomoides zonatus","GVDP-77",34.4,"Aug",8,804,"F","CA","RG",NA,1,1,"x","x","x","x","","","","","","beta"
"192",362,"Pristipomoides zonatus","GVDP-79",36,"Aug",18,986,"F","VTIII","SC",NA,1,1,"x","x","x","x","x","x","","","late","alpha"
"193",363,"Pristipomoides zonatus","GVDP-80",33.1,"Aug",19,761,"F","H","AS",NA,1,1,"","x","x","x","x","x","x","","early",""
"194",364,"Pristipomoides zonatus","GVDP-81",32.5,"Aug",1,739,"M","","SC",1,NA,NA,"","","","","","","","","",""
"195",430,"Pristipomoides zonatus","GVDP-811",23.2,"Jul",0.1,242,"M","","D",1,NA,NA,"","","","","","","","","",""
